station,valid,tmpf
AUO,2006-01-01 07:55,53.60
OZR,2006-01-01 07:55,59.00
MOB,2006-01-01 07:56,66.02
ALX,2006-01-01 08:00,50.00
MDQ,2006-01-01 08:00,50.00
3A1,2006-01-01 08:00,48.20
AUO,2006-01-01 08:15,53.60
ALX,2006-01-01 08:20,51.80
MDQ,2006-01-01 08:20,50.00
3A1,2006-01-01 08:20,50.00
AUO,2006-01-01 08:35,53.60
3A1,2006-01-01 08:40,50.00
ALX,2006-01-01 08:40,51.80
MDQ,2006-01-01 08:40,51.80
MSL,2006-01-01 08:53,51.98
TCL,2006-01-01 08:53,57.02
BHM,2006-01-01 08:53,53.96
HSV,2006-01-01 08:53,50.00
MGM,2006-01-01 08:53,55.94
ANB,2006-01-01 08:53,51.98
DHN,2006-01-01 08:53,59.00
OZR,2006-01-01 08:55,60.80
AUO,2006-01-01 08:55,55.40
MOB,2006-01-01 08:56,68.00
ALX,2006-01-01 09:00,51.80
MDQ,2006-01-01 09:00,51.80
3A1,2006-01-01 09:00,51.80
AUO,2006-01-01 09:15,55.40
3A1,2006-01-01 09:20,51.80
ALX,2006-01-01 09:20,51.80
MDQ,2006-01-01 09:20,53.60
ALX,2006-01-01 09:40,53.60
3A1,2006-01-01 09:40,51.80
TCL,2006-01-01 09:53,57.92
DHN,2006-01-01 09:53,60.98
BHM,2006-01-01 09:53,55.04
MSL,2006-01-01 09:53,53.96
MGM,2006-01-01 09:53,57.92
HSV,2006-01-01 09:53,53.06
ANB,2006-01-01 09:53,55.94
AUO,2006-01-01 09:55,55.40
OZR,2006-01-01 09:55,62.60
MOB,2006-01-01 09:56,69.98
ALX,2006-01-01 10:00,53.60
MDQ,2006-01-01 10:00,53.60
3A1,2006-01-01 10:00,53.60
AUO,2006-01-01 10:15,57.20
ALX,2006-01-01 10:20,55.40
3A1,2006-01-01 10:20,53.60
MDQ,2006-01-01 10:20,53.60
AUO,2006-01-01 10:35,57.20
BHM,2006-01-01 10:53,57.02
ANB,2006-01-01 10:53,59.00
TCL,2006-01-01 10:53,60.08
MSL,2006-01-01 10:53,55.94
DHN,2006-01-01 10:53,62.06
MGM,2006-01-01 10:53,60.98
HSV,2006-01-01 10:53,55.94
AUO,2006-01-01 10:55,60.80
OZR,2006-01-01 10:55,64.40
MOB,2006-01-01 10:56,73.04
MDQ,2006-01-01 11:00,55.40
AUO,2006-01-01 11:15,60.80
MDQ,2006-01-01 11:20,57.20
3A1,2006-01-01 11:20,59.00
ALX,2006-01-01 11:20,59.00
ANB,2006-01-01 11:21,60.80
AUO,2006-01-01 11:35,60.80
ALX,2006-01-01 11:40,60.80
3A1,2006-01-01 11:40,59.00
DHN,2006-01-01 11:53,64.94
ANB,2006-01-01 11:53,60.98
HSV,2006-01-01 11:53,57.92
MGM,2006-01-01 11:53,62.06
TCL,2006-01-01 11:53,62.96
MSL,2006-01-01 11:53,62.06
BHM,2006-01-01 11:53,59.00
OZR,2006-01-01 11:55,66.20
AUO,2006-01-01 11:55,60.80
MOB,2006-01-01 11:56,73.94
MDQ,2006-01-01 12:00,59.00
3A1,2006-01-01 12:00,60.80
ALX,2006-01-01 12:00,62.60
AUO,2006-01-01 12:15,60.80
MDQ,2006-01-01 12:20,59.00
3A1,2006-01-01 12:20,62.60
ALX,2006-01-01 12:20,62.60
AUO,2006-01-01 12:35,60.80
MDQ,2006-01-01 12:40,59.00
OZR,2006-01-01 12:40,68.00
3A1,2006-01-01 12:40,62.60
ALX,2006-01-01 12:40,64.40
ANB,2006-01-01 12:53,64.94
DHN,2006-01-01 12:53,66.02
MGM,2006-01-01 12:53,62.96
MSL,2006-01-01 12:53,66.92
HSV,2006-01-01 12:53,60.98
BHM,2006-01-01 12:53,62.96
TCL,2006-01-01 12:53,64.04
AUO,2006-01-01 12:55,60.80
OZR,2006-01-01 12:55,68.00
MOB,2006-01-01 12:56,75.02
ALX,2006-01-01 13:00,64.40
3A1,2006-01-01 13:00,62.60
MDQ,2006-01-01 13:00,59.00
OZR,2006-01-01 13:04,68.00
OZR,2006-01-01 13:10,68.00
OZR,2006-01-01 13:18,68.00
ALX,2006-01-01 13:20,64.40
3A1,2006-01-01 13:20,62.60
MDQ,2006-01-01 13:20,60.80
OZR,2006-01-01 13:30,69.80
AUO,2006-01-01 13:35,57.20
OZR,2006-01-01 13:39,69.80
MDQ,2006-01-01 13:40,60.80
ALX,2006-01-01 13:40,64.40
3A1,2006-01-01 13:40,62.60
OZR,2006-01-01 13:52,71.60
