station,valid,tmpf
OZR,2006-01-11 20:55,57.20
MOB,2006-01-11 20:56,53.96
MDQ,2006-01-11 20:59,35.60
ALX,2006-01-11 21:00,46.40
3A1,2006-01-11 21:00,37.40
AUO,2006-01-11 21:15,53.60
MDQ,2006-01-11 21:19,35.60
3A1,2006-01-11 21:20,37.40
ALX,2006-01-11 21:20,46.40
DHN,2006-01-11 21:23,55.40
OZR,2006-01-11 21:27,
AUO,2006-01-11 21:35,53.60
OZR,2006-01-11 21:35,53.60
MDQ,2006-01-11 21:39,37.40
3A1,2006-01-11 21:40,35.60
ALX,2006-01-11 21:40,44.60
DHN,2006-01-11 21:45,55.40
DHN,2006-01-11 21:53,57.92
TCL,2006-01-11 21:53,39.02
MGM,2006-01-11 21:53,46.94
ANB,2006-01-11 21:53,42.98
HSV,2006-01-11 21:53,39.02
BHM,2006-01-11 21:53,39.02
OZR,2006-01-11 21:55,57.20
AUO,2006-01-11 21:55,53.60
MOB,2006-01-11 21:56,51.98
MDQ,2006-01-11 21:59,35.60
ALX,2006-01-11 22:00,44.60
3A1,2006-01-11 22:00,35.60
OZR,2006-01-11 22:07,57.20
AUO,2006-01-11 22:15,53.60
MDQ,2006-01-11 22:19,35.60
3A1,2006-01-11 22:20,35.60
ALX,2006-01-11 22:20,44.60
AUO,2006-01-11 22:35,53.60
MDQ,2006-01-11 22:39,33.80
BHM,2006-01-11 22:53,39.02
MSL,2006-01-11 22:53,35.96
ANB,2006-01-11 22:53,41.00
MGM,2006-01-11 22:53,48.02
TCL,2006-01-11 22:53,37.94
DHN,2006-01-11 22:53,60.08
HSV,2006-01-11 22:53,37.94
OZR,2006-01-11 22:55,57.20
AUO,2006-01-11 22:55,53.60
MOB,2006-01-11 22:56,51.08
MDQ,2006-01-11 22:59,33.80
ALX,2006-01-11 23:00,42.80
3A1,2006-01-11 23:00,35.60
AUO,2006-01-11 23:15,53.60
MDQ,2006-01-11 23:19,33.80
ALX,2006-01-11 23:20,41.00
3A1,2006-01-11 23:20,35.60
ALX,2006-01-11 23:40,41.00
3A1,2006-01-11 23:40,35.60
HSV,2006-01-11 23:53,37.04
ANB,2006-01-11 23:53,39.92
TCL,2006-01-11 23:53,35.96
DHN,2006-01-11 23:53,60.08
MSL,2006-01-11 23:53,37.94
MGM,2006-01-11 23:53,44.96
BHM,2006-01-11 23:53,37.94
AUO,2006-01-11 23:55,51.80
OZR,2006-01-11 23:55,59.00
MOB,2006-01-11 23:56,48.92
MDQ,2006-01-11 23:59,32.00
ALX,2006-01-12 00:00,39.20
3A1,2006-01-12 00:00,35.60
AUO,2006-01-12 00:15,50.00
MDQ,2006-01-12 00:19,33.80
AUO,2006-01-12 00:35,51.80
ALX,2006-01-12 00:40,39.20
3A1,2006-01-12 00:40,35.60
DHN,2006-01-12 00:53,59.00
TCL,2006-01-12 00:53,35.96
MSL,2006-01-12 00:53,35.96
HSV,2006-01-12 00:53,35.96
ANB,2006-01-12 00:53,37.94
BHM,2006-01-12 00:53,37.04
MGM,2006-01-12 00:53,42.98
AUO,2006-01-12 00:55,48.20
MOB,2006-01-12 00:56,46.94
MDQ,2006-01-12 00:59,32.00
3A1,2006-01-12 01:00,35.60
ALX,2006-01-12 01:00,39.20
ANB,2006-01-12 01:06,37.40
AUO,2006-01-12 01:15,48.20
ANB,2006-01-12 01:15,39.20
MDQ,2006-01-12 01:19,32.00
ALX,2006-01-12 01:20,37.40
3A1,2006-01-12 01:20,35.60
AUO,2006-01-12 01:35,48.20
MDQ,2006-01-12 01:39,32.00
DHN,2006-01-12 01:53,60.08
HSV,2006-01-12 01:53,33.98
TCL,2006-01-12 01:53,35.06
ANB,2006-01-12 01:53,35.96
BHM,2006-01-12 01:53,37.94
MSL,2006-01-12 01:53,35.06
MGM,2006-01-12 01:53,41.00
OZR,2006-01-12 01:55,59.00
AUO,2006-01-12 01:55,48.20
MOB,2006-01-12 01:56,46.04
MDQ,2006-01-12 01:59,32.00
3A1,2006-01-12 02:00,35.60
ALX,2006-01-12 02:00,37.40
ANB,2006-01-12 02:05,37.40
ANB,2006-01-12 02:14,37.40
AUO,2006-01-12 02:15,46.40
DHN,2006-01-12 02:17,57.20
MDQ,2006-01-12 02:19,33.80
ALX,2006-01-12 02:20,37.40
3A1,2006-01-12 02:20,37.40
AUO,2006-01-12 02:35,46.40
MDQ,2006-01-12 02:39,32.00
ALX,2006-01-12 02:40,37.40
3A1,2006-01-12 02:40,37.40
HSV,2006-01-12 02:53,33.98
DHN,2006-01-12 02:53,55.94
MGM,2006-01-12 02:53,42.98
ANB,2006-01-12 02:53,37.04
TCL,2006-01-12 02:53,33.98
MSL,2006-01-12 02:53,33.08
BHM,2006-01-12 02:53,37.04
OZR,2006-01-12 02:55,55.40
AUO,2006-01-12 02:55,46.40
MOB,2006-01-12 02:56,46.04
MDQ,2006-01-12 02:59,32.00
3A1,2006-01-12 03:00,37.40
ALX,2006-01-12 03:00,37.40
DHN,2006-01-12 03:10,55.40
ANB,2006-01-12 03:14,37.40
DHN,2006-01-12 03:15,53.60
AUO,2006-01-12 03:15,46.40
MDQ,2006-01-12 03:19,32.00
3A1,2006-01-12 03:20,35.60
ALX,2006-01-12 03:20,37.40
DHN,2006-01-12 03:28,55.40
DHN,2006-01-12 03:34,55.40
AUO,2006-01-12 03:35,44.60
MDQ,2006-01-12 03:39,32.00
3A1,2006-01-12 03:40,35.60
DHN,2006-01-12 03:42,55.40
DHN,2006-01-12 03:46,53.60
MGM,2006-01-12 03:53,41.00
TCL,2006-01-12 03:53,33.08
DHN,2006-01-12 03:53,53.96
HSV,2006-01-12 03:53,33.08
BHM,2006-01-12 03:53,35.96
ANB,2006-01-12 03:53,37.94
MSL,2006-01-12 03:53,33.98
AUO,2006-01-12 03:55,44.60
OZR,2006-01-12 03:55,55.40
MOB,2006-01-12 03:56,46.94
MDQ,2006-01-12 03:59,32.00
3A1,2006-01-12 04:00,37.40
ALX,2006-01-12 04:00,37.40
DHN,2006-01-12 04:03,53.60
OZR,2006-01-12 04:10,55.40
AUO,2006-01-12 04:15,44.60
MDQ,2006-01-12 04:19,32.00
ALX,2006-01-12 04:20,37.40
DHN,2006-01-12 04:33,51.80
OZR,2006-01-12 04:35,55.40
AUO,2006-01-12 04:35,44.60
MDQ,2006-01-12 04:39,32.00
DHN,2006-01-12 04:41,51.80
MGM,2006-01-12 04:53,39.92
MSL,2006-01-12 04:53,32.00
ANB,2006-01-12 04:53,37.94
HSV,2006-01-12 04:53,32.00
BHM,2006-01-12 04:53,35.96
TCL,2006-01-12 04:53,30.92
DHN,2006-01-12 04:53,55.04
AUO,2006-01-12 04:55,42.80
OZR,2006-01-12 04:55,55.40
MOB,2006-01-12 04:56,44.96
MDQ,2006-01-12 04:59,32.00
ALX,2006-01-12 05:00,37.40
3A1,2006-01-12 05:00,39.20
DHN,2006-01-12 05:00,55.40
ANB,2006-01-12 05:01,37.40
DHN,2006-01-12 05:06,55.40
AUO,2006-01-12 05:15,44.60
DHN,2006-01-12 05:16,55.40
MDQ,2006-01-12 05:19,32.00
3A1,2006-01-12 05:20,41.00
ALX,2006-01-12 05:20,39.20
OZR,2006-01-12 05:20,55.40
DHN,2006-01-12 05:24,55.40
AUO,2006-01-12 05:35,44.60
MDQ,2006-01-12 05:39,30.20
DHN,2006-01-12 05:43,55.40
HSV,2006-01-12 05:53,30.92
BHM,2006-01-12 05:53,35.96
TCL,2006-01-12 05:53,30.92
MGM,2006-01-12 05:53,39.02
ANB,2006-01-12 05:53,37.04
MSL,2006-01-12 05:53,35.06
DHN,2006-01-12 05:53,55.94
AUO,2006-01-12 05:55,44.60
OZR,2006-01-12 05:55,53.60
MOB,2006-01-12 05:56,44.96
MDQ,2006-01-12 05:59,30.20
ALX,2006-01-12 06:00,41.00
3A1,2006-01-12 06:00,35.60
OZR,2006-01-12 06:10,51.80
AUO,2006-01-12 06:15,42.80
MDQ,2006-01-12 06:19,32.00
3A1,2006-01-12 06:20,33.80
ALX,2006-01-12 06:20,39.20
ANB,2006-01-12 06:24,37.40
AUO,2006-01-12 06:35,44.60
3A1,2006-01-12 06:40,33.80
MGM,2006-01-12 06:53,39.02
HSV,2006-01-12 06:53,32.00
MSL,2006-01-12 06:53,33.98
DHN,2006-01-12 06:53,53.06
BHM,2006-01-12 06:53,37.04
TCL,2006-01-12 06:53,32.00
ANB,2006-01-12 06:53,37.04
OZR,2006-01-12 06:55,55.40
AUO,2006-01-12 06:55,46.40
MOB,2006-01-12 06:56,46.94
MDQ,2006-01-12 06:59,32.00
3A1,2006-01-12 07:00,33.80
ALX,2006-01-12 07:00,37.40
DHN,2006-01-12 07:10,53.60
AUO,2006-01-12 07:15,44.60
MDQ,2006-01-12 07:19,32.00
ALX,2006-01-12 07:20,37.40
3A1,2006-01-12 07:20,35.60
DHN,2006-01-12 07:21,53.60
DHN,2006-01-12 07:34,57.20
AUO,2006-01-12 07:35,48.20
MDQ,2006-01-12 07:39,37.40
3A1,2006-01-12 07:40,35.60
ANB,2006-01-12 07:44,39.20
BHM,2006-01-12 07:53,42.98
TCL,2006-01-12 07:53,35.06
HSV,2006-01-12 07:53,33.98
DHN,2006-01-12 07:53,57.02
MGM,2006-01-12 07:53,42.08
ANB,2006-01-12 07:53,39.92
MSL,2006-01-12 07:53,39.02
AUO,2006-01-12 07:55,50.00
MOB,2006-01-12 07:56,48.02
MDQ,2006-01-12 07:59,37.40
ALX,2006-01-12 08:00,39.20
3A1,2006-01-12 08:00,37.40
DHN,2006-01-12 08:00,57.20
AUO,2006-01-12 08:15,51.80
MDQ,2006-01-12 08:19,41.00
ALX,2006-01-12 08:20,44.60
3A1,2006-01-12 08:20,44.60
DHN,2006-01-12 08:26,57.20
AUO,2006-01-12 08:35,53.60
MDQ,2006-01-12 08:39,42.80
3A1,2006-01-12 08:40,50.00
ALX,2006-01-12 08:40,46.40
MGM,2006-01-12 08:53,46.04
DHN,2006-01-12 08:53,60.08
TCL,2006-01-12 08:53,44.96
HSV,2006-01-12 08:53,42.98
ANB,2006-01-12 08:53,46.94
MSL,2006-01-12 08:53,44.06
BHM,2006-01-12 08:53,53.06
OZR,2006-01-12 08:55,59.00
AUO,2006-01-12 08:55,53.60
MOB,2006-01-12 08:56,48.92
MDQ,2006-01-12 08:59,44.60
3A1,2006-01-12 09:00,51.80
ALX,2006-01-12 09:00,51.80
DHN,2006-01-12 09:02,60.80
OZR,2006-01-12 09:14,60.80
AUO,2006-01-12 09:15,55.40
MDQ,2006-01-12 09:19,46.40
3A1,2006-01-12 09:20,51.80
ALX,2006-01-12 09:20,51.80
AUO,2006-01-12 09:35,60.80
HSV,2006-01-12 09:53,51.08
ANB,2006-01-12 09:53,53.06
DHN,2006-01-12 09:53,62.06
TCL,2006-01-12 09:53,51.08
MSL,2006-01-12 09:53,53.06
MGM,2006-01-12 09:53,48.92
BHM,2006-01-12 09:53,57.02
OZR,2006-01-12 09:55,60.80
MOB,2006-01-12 09:56,50.00
MDQ,2006-01-12 09:59,50.00
3A1,2006-01-12 10:00,53.60
ALX,2006-01-12 10:00,57.20
DHN,2006-01-12 10:05,64.40
OZR,2006-01-12 10:08,60.80
AUO,2006-01-12 10:15,60.80
MDQ,2006-01-12 10:19,51.80
OZR,2006-01-12 10:20,60.80
3A1,2006-01-12 10:20,57.20
ALX,2006-01-12 10:20,57.20
OZR,2006-01-12 10:25,62.60
AUO,2006-01-12 10:35,62.60
ALX,2006-01-12 10:40,59.00
ANB,2006-01-12 10:53,60.08
HSV,2006-01-12 10:53,55.94
DHN,2006-01-12 10:53,66.92
MSL,2006-01-12 10:53,59.00
MGM,2006-01-12 10:53,53.96
TCL,2006-01-12 10:53,57.02
BHM,2006-01-12 10:53,60.08
AUO,2006-01-12 10:55,62.60
OZR,2006-01-12 10:55,64.40
MOB,2006-01-12 10:56,57.02
MDQ,2006-01-12 10:59,53.60
3A1,2006-01-12 11:00,57.20
ALX,2006-01-12 11:00,59.00
AUO,2006-01-12 11:15,62.60
MDQ,2006-01-12 11:19,55.40
3A1,2006-01-12 11:20,59.00
ALX,2006-01-12 11:20,60.80
DHN,2006-01-12 11:34,66.20
OZR,2006-01-12 11:38,68.00
ALX,2006-01-12 11:40,60.80
3A1,2006-01-12 11:40,60.80
MSL,2006-01-12 11:53,62.06
MGM,2006-01-12 11:53,62.06
DHN,2006-01-12 11:53,68.00
ANB,2006-01-12 11:53,62.96
HSV,2006-01-12 11:53,60.08
BHM,2006-01-12 11:53,62.06
TCL,2006-01-12 11:53,62.06
AUO,2006-01-12 11:55,64.40
OZR,2006-01-12 11:55,68.00
MOB,2006-01-12 11:56,62.96
MDQ,2006-01-12 11:59,60.80
3A1,2006-01-12 12:00,60.80
ALX,2006-01-12 12:00,62.60
AUO,2006-01-12 12:15,64.40
MDQ,2006-01-12 12:19,60.80
ALX,2006-01-12 12:20,64.40
3A1,2006-01-12 12:20,60.80
AUO,2006-01-12 12:35,66.20
BHM,2006-01-12 12:53,64.04
ANB,2006-01-12 12:53,66.02
MGM,2006-01-12 12:53,66.92
TCL,2006-01-12 12:53,64.04
MSL,2006-01-12 12:53,62.96
HSV,2006-01-12 12:53,62.06
DHN,2006-01-12 12:53,69.98
OZR,2006-01-12 12:55,71.60
AUO,2006-01-12 12:55,66.20
MOB,2006-01-12 12:56,66.92
MDQ,2006-01-12 12:59,60.80
ALX,2006-01-12 13:00,64.40
3A1,2006-01-12 13:00,64.40
AUO,2006-01-12 13:15,66.20
MDQ,2006-01-12 13:19,62.60
3A1,2006-01-12 13:20,66.20
ALX,2006-01-12 13:20,68.00
AUO,2006-01-12 13:35,68.00
MDQ,2006-01-12 13:39,62.60
ALX,2006-01-12 13:40,68.00
3A1,2006-01-12 13:40,68.00
BHM,2006-01-12 13:53,64.94
MGM,2006-01-12 13:53,66.92
HSV,2006-01-12 13:53,64.04
DHN,2006-01-12 13:53,71.96
MSL,2006-01-12 13:53,64.94
TCL,2006-01-12 13:53,64.94
ANB,2006-01-12 13:53,69.08
OZR,2006-01-12 13:55,71.60
AUO,2006-01-12 13:55,68.00
MOB,2006-01-12 13:56,68.00
MDQ,2006-01-12 13:59,62.60
3A1,2006-01-12 14:00,68.00
ALX,2006-01-12 14:00,68.00
MDQ,2006-01-12 14:19,64.40
ALX,2006-01-12 14:20,68.00
3A1,2006-01-12 14:20,68.00
AUO,2006-01-12 14:35,68.00
MSL,2006-01-12 14:53,64.04
HSV,2006-01-12 14:53,64.04
MGM,2006-01-12 14:53,68.00
BHM,2006-01-12 14:53,66.02
ANB,2006-01-12 14:53,68.00
DHN,2006-01-12 14:53,71.06
TCL,2006-01-12 14:53,64.94
AUO,2006-01-12 14:55,66.20
MOB,2006-01-12 14:56,69.08
MDQ,2006-01-12 14:59,64.40
ALX,2006-01-12 15:00,68.00
3A1,2006-01-12 15:00,64.40
AUO,2006-01-12 15:15,66.20
MDQ,2006-01-12 15:19,64.40
3A1,2006-01-12 15:20,62.60
ALX,2006-01-12 15:20,68.00
AUO,2006-01-12 15:35,64.40
MSL,2006-01-12 15:53,64.04
BHM,2006-01-12 15:53,64.94
MGM,2006-01-12 15:53,66.02
TCL,2006-01-12 15:53,64.04
ANB,2006-01-12 15:53,66.92
DHN,2006-01-12 15:53,69.98
HSV,2006-01-12 15:53,62.06
AUO,2006-01-12 15:55,64.40
MOB,2006-01-12 15:56,66.92
MDQ,2006-01-12 15:59,62.60
3A1,2006-01-12 16:00,62.60
ALX,2006-01-12 16:00,64.40
AUO,2006-01-12 16:15,64.40
MDQ,2006-01-12 16:19,62.60
ALX,2006-01-12 16:20,64.40
3A1,2006-01-12 16:20,60.80
AUO,2006-01-12 16:35,62.60
ALX,2006-01-12 16:40,62.60
DHN,2006-01-12 16:53,66.92
HSV,2006-01-12 16:53,57.02
ANB,2006-01-12 16:53,62.96
MSL,2006-01-12 16:53,60.08
TCL,2006-01-12 16:53,62.06
BHM,2006-01-12 16:53,62.96
MGM,2006-01-12 16:53,62.06
AUO,2006-01-12 16:55,60.80
MOB,2006-01-12 16:56,62.06
OZR,2006-01-12 16:57,66.20
MDQ,2006-01-12 16:59,60.80
3A1,2006-01-12 17:00,60.80
ALX,2006-01-12 17:00,59.00
AUO,2006-01-12 17:15,60.80
MDQ,2006-01-12 17:19,59.00
ALX,2006-01-12 17:20,55.40
3A1,2006-01-12 17:20,59.00
AUO,2006-01-12 17:35,57.20
3A1,2006-01-12 17:40,59.00
MSL,2006-01-12 17:53,57.92
TCL,2006-01-12 17:53,57.92
BHM,2006-01-12 17:53,60.98
ANB,2006-01-12 17:53,57.02
MGM,2006-01-12 17:53,55.94
DHN,2006-01-12 17:53,57.92
HSV,2006-01-12 17:53,53.96
AUO,2006-01-12 17:55,57.20
OZR,2006-01-12 17:55,60.80
MOB,2006-01-12 17:56,59.00
MDQ,2006-01-12 17:59,59.00
3A1,2006-01-12 18:00,59.00
ALX,2006-01-12 18:00,53.60
AUO,2006-01-12 18:15,57.20
MDQ,2006-01-12 18:19,59.00
3A1,2006-01-12 18:20,57.20
ALX,2006-01-12 18:20,51.80
AUO,2006-01-12 18:35,57.20
MDQ,2006-01-12 18:39,57.20
ALX,2006-01-12 18:40,51.80
BHM,2006-01-12 18:53,60.98
MGM,2006-01-12 18:53,53.06
TCL,2006-01-12 18:53,59.00
HSV,2006-01-12 18:53,55.04
MSL,2006-01-12 18:53,55.94
DHN,2006-01-12 18:53,60.98
ANB,2006-01-12 18:53,53.96
OZR,2006-01-12 18:55,59.00
AUO,2006-01-12 18:55,57.20
MOB,2006-01-12 18:56,57.02
MDQ,2006-01-12 18:59,57.20
ALX,2006-01-12 19:00,51.80
3A1,2006-01-12 19:00,57.20
AUO,2006-01-12 19:15,57.20
MDQ,2006-01-12 19:19,57.20
3A1,2006-01-12 19:20,57.20
ALX,2006-01-12 19:20,51.80
AUO,2006-01-12 19:35,55.40
MDQ,2006-01-12 19:39,55.40
3A1,2006-01-12 19:40,57.20
ALX,2006-01-12 19:40,51.80
HSV,2006-01-12 19:53,55.04
BHM,2006-01-12 19:53,59.00
DHN,2006-01-12 19:53,59.00
MGM,2006-01-12 19:53,51.08
ANB,2006-01-12 19:53,51.98
TCL,2006-01-12 19:53,55.94
MSL,2006-01-12 19:53,57.02
AUO,2006-01-12 19:55,55.40
OZR,2006-01-12 19:56,57.20
MOB,2006-01-12 19:56,55.94
MDQ,2006-01-12 19:59,55.40
3A1,2006-01-12 20:00,57.20
ALX,2006-01-12 20:00,51.80
AUO,2006-01-12 20:15,55.40
MDQ,2006-01-12 20:19,55.40
3A1,2006-01-12 20:20,57.20
ALX,2006-01-12 20:20,51.80
AUO,2006-01-12 20:35,53.60
MDQ,2006-01-12 20:39,55.40
3A1,2006-01-12 20:40,55.40
ALX,2006-01-12 20:40,50.00
DHN,2006-01-12 20:53,57.92
TCL,2006-01-12 20:53,55.04
BHM,2006-01-12 20:53,57.02
ANB,2006-01-12 20:53,48.92
MSL,2006-01-12 20:53,57.92
MGM,2006-01-12 20:53,50.00
HSV,2006-01-12 20:53,53.96
AUO,2006-01-12 20:55,53.60
OZR,2006-01-12 20:55,55.40
MOB,2006-01-12 20:56,55.94
MDQ,2006-01-12 20:59,53.60
3A1,2006-01-12 21:00,57.20
ALX,2006-01-12 21:00,50.00
AUO,2006-01-12 21:15,53.60
MDQ,2006-01-12 21:19,55.40
3A1,2006-01-12 21:20,55.40
ALX,2006-01-12 21:20,46.40
AUO,2006-01-12 21:35,53.60
HSV,2006-01-12 21:53,55.04
BHM,2006-01-12 21:53,57.92
TCL,2006-01-12 21:53,57.02
ANB,2006-01-12 21:53,46.94
MGM,2006-01-12 21:53,48.92
DHN,2006-01-12 21:53,55.04
MSL,2006-01-12 21:53,57.92
AUO,2006-01-12 21:55,53.60
OZR,2006-01-12 21:56,53.60
MOB,2006-01-12 21:56,55.94
MDQ,2006-01-12 21:59,55.40
3A1,2006-01-12 22:00,53.60
ALX,2006-01-12 22:00,46.40
AUO,2006-01-12 22:15,53.60
MDQ,2006-01-12 22:19,53.60
3A1,2006-01-12 22:20,55.40
ALX,2006-01-12 22:20,46.40
AUO,2006-01-12 22:35,53.60
DHN,2006-01-12 22:53,53.06
ANB,2006-01-12 22:53,44.96
TCL,2006-01-12 22:53,57.02
HSV,2006-01-12 22:53,55.94
MSL,2006-01-12 22:53,57.92
MGM,2006-01-12 22:53,48.02
BHM,2006-01-12 22:53,55.94
OZR,2006-01-12 22:55,51.80
AUO,2006-01-12 22:55,51.80
MOB,2006-01-12 22:56,57.92
MDQ,2006-01-12 22:59,57.20
3A1,2006-01-12 23:00,53.60
ALX,2006-01-12 23:00,46.40
AUO,2006-01-12 23:15,51.80
MDQ,2006-01-12 23:19,57.20
ALX,2006-01-12 23:20,46.40
3A1,2006-01-12 23:20,53.60
AUO,2006-01-12 23:35,51.80
OZR,2006-01-12 23:38,51.80
3A1,2006-01-12 23:40,53.60
ALX,2006-01-12 23:40,46.40
TCL,2006-01-12 23:53,55.94
MSL,2006-01-12 23:53,57.02
HSV,2006-01-12 23:53,55.94
MGM,2006-01-12 23:53,46.94
DHN,2006-01-12 23:53,51.98
BHM,2006-01-12 23:53,55.94
ANB,2006-01-12 23:53,46.04
OZR,2006-01-12 23:55,51.80
AUO,2006-01-12 23:55,51.80
MOB,2006-01-12 23:56,57.02
MDQ,2006-01-12 23:59,59.00
ALX,2006-01-13 00:00,46.40
3A1,2006-01-13 00:00,53.60
OZR,2006-01-13 00:03,51.80
DHN,2006-01-13 00:05,53.60
AUO,2006-01-13 00:15,51.80
MDQ,2006-01-13 00:19,57.20
3A1,2006-01-13 00:20,53.60
ALX,2006-01-13 00:20,46.40
OZR,2006-01-13 00:21,51.80
AUO,2006-01-13 00:35,51.80
MDQ,2006-01-13 00:39,55.40
ALX,2006-01-13 00:40,46.40
3A1,2006-01-13 00:40,53.60
DHN,2006-01-13 00:53,53.06
MGM,2006-01-13 00:53,48.92
TCL,2006-01-13 00:53,57.02
HSV,2006-01-13 00:53,53.96
BHM,2006-01-13 00:53,55.04
MSL,2006-01-13 00:53,55.94
ANB,2006-01-13 00:53,44.96
AUO,2006-01-13 00:55,51.80
OZR,2006-01-13 00:55,51.80
MOB,2006-01-13 00:56,57.92
MDQ,2006-01-13 00:59,55.40
3A1,2006-01-13 01:00,53.60
ALX,2006-01-13 01:00,46.40
DHN,2006-01-13 01:15,51.80
AUO,2006-01-13 01:15,51.80
DHN,2006-01-13 01:18,51.80
MDQ,2006-01-13 01:19,55.40
3A1,2006-01-13 01:20,53.60
ALX,2006-01-13 01:20,46.40
DHN,2006-01-13 01:26,51.80
AUO,2006-01-13 01:35,51.80
DHN,2006-01-13 01:36,51.80
3A1,2006-01-13 01:40,53.60
ALX,2006-01-13 01:40,44.60
DHN,2006-01-13 01:53,51.98
HSV,2006-01-13 01:53,53.06
BHM,2006-01-13 01:53,55.94
ANB,2006-01-13 01:53,44.96
MSL,2006-01-13 01:53,57.92
TCL,2006-01-13 01:53,55.94
MGM,2006-01-13 01:53,46.94
AUO,2006-01-13 01:55,50.00
MOB,2006-01-13 01:56,57.92
MDQ,2006-01-13 01:59,55.40
ALX,2006-01-13 02:00,46.40
3A1,2006-01-13 02:00,53.60
AUO,2006-01-13 02:15,50.00
MDQ,2006-01-13 02:19,55.40
DHN,2006-01-13 02:19,51.80
3A1,2006-01-13 02:20,53.60
ALX,2006-01-13 02:20,46.40
AUO,2006-01-13 02:35,50.00
MDQ,2006-01-13 02:39,55.40
DHN,2006-01-13 02:53,53.06
MSL,2006-01-13 02:53,57.92
BHM,2006-01-13 02:53,55.94
ANB,2006-01-13 02:53,46.04
MGM,2006-01-13 02:53,46.94
TCL,2006-01-13 02:53,57.92
HSV,2006-01-13 02:53,53.96
OZR,2006-01-13 02:55,53.60
AUO,2006-01-13 02:55,48.20
MOB,2006-01-13 02:56,59.00
MDQ,2006-01-13 02:59,55.40
3A1,2006-01-13 03:00,53.60
ALX,2006-01-13 03:00,42.80
AUO,2006-01-13 03:15,48.20
MDQ,2006-01-13 03:19,55.40
3A1,2006-01-13 03:20,53.60
ALX,2006-01-13 03:20,42.80
AUO,2006-01-13 03:35,48.20
BHM,2006-01-13 03:53,55.94
TCL,2006-01-13 03:53,59.00
MSL,2006-01-13 03:53,55.94
MGM,2006-01-13 03:53,46.04
DHN,2006-01-13 03:53,53.96
ANB,2006-01-13 03:53,46.94
HSV,2006-01-13 03:53,53.96
OZR,2006-01-13 03:55,55.40
AUO,2006-01-13 03:55,48.20
MOB,2006-01-13 03:56,60.98
MDQ,2006-01-13 03:59,55.40
ALX,2006-01-13 04:00,44.60
3A1,2006-01-13 04:00,53.60
AUO,2006-01-13 04:15,48.20
MDQ,2006-01-13 04:19,53.60
ALX,2006-01-13 04:20,44.60
3A1,2006-01-13 04:20,53.60
AUO,2006-01-13 04:35,48.20
3A1,2006-01-13 04:40,53.60
ALX,2006-01-13 04:40,46.40
DHN,2006-01-13 04:43,55.40
ANB,2006-01-13 04:53,46.04
HSV,2006-01-13 04:53,55.04
BHM,2006-01-13 04:53,55.04
TCL,2006-01-13 04:53,60.08
DHN,2006-01-13 04:53,53.96
MGM,2006-01-13 04:53,48.02
MSL,2006-01-13 04:53,55.94
AUO,2006-01-13 04:55,48.20
OZR,2006-01-13 04:55,55.40
MOB,2006-01-13 04:56,64.04
MDQ,2006-01-13 04:59,55.40
3A1,2006-01-13 05:00,53.60
ALX,2006-01-13 05:00,46.40
OZR,2006-01-13 05:11,55.40
AUO,2006-01-13 05:15,50.00
MDQ,2006-01-13 05:19,55.40
3A1,2006-01-13 05:20,53.60
ALX,2006-01-13 05:20,46.40
DHN,2006-01-13 05:22,55.40
OZR,2006-01-13 05:31,55.40
AUO,2006-01-13 05:35,50.00
DHN,2006-01-13 05:36,55.40
MDQ,2006-01-13 05:39,55.40
OZR,2006-01-13 05:46,57.20
TCL,2006-01-13 05:53,59.00
DHN,2006-01-13 05:53,55.04
MGM,2006-01-13 05:53,53.06
HSV,2006-01-13 05:53,55.04
BHM,2006-01-13 05:53,55.94
MSL,2006-01-13 05:53,53.96
OZR,2006-01-13 05:55,55.40
AUO,2006-01-13 05:55,50.00
MOB,2006-01-13 05:56,66.02
DHN,2006-01-13 05:57,55.40
AUO,2006-01-13 06:15,48.20
MDQ,2006-01-13 06:19,57.20
ALX,2006-01-13 06:20,51.80
AUO,2006-01-13 06:35,48.20
HSV,2006-01-13 06:53,55.04
TCL,2006-01-13 06:53,59.00
MGM,2006-01-13 06:53,55.94
BHM,2006-01-13 06:53,57.02
MSL,2006-01-13 06:53,51.98
DHN,2006-01-13 06:53,55.94
ANB,2006-01-13 06:53,51.08
AUO,2006-01-13 06:55,48.20
MOB,2006-01-13 06:56,66.92
MDQ,2006-01-13 06:59,57.20
ALX,2006-01-13 07:00,51.80
3A1,2006-01-13 07:00,53.60
MDQ,2006-01-13 07:19,51.80
3A1,2006-01-13 07:20,53.60
ALX,2006-01-13 07:20,51.80
AUO,2006-01-13 07:35,51.80
3A1,2006-01-13 07:40,51.80
TCL,2006-01-13 07:53,57.92
BHM,2006-01-13 07:53,57.92
DHN,2006-01-13 07:53,57.92
MSL,2006-01-13 07:53,51.08
MGM,2006-01-13 07:53,60.98
ANB,2006-01-13 07:53,55.04
HSV,2006-01-13 07:53,51.08
AUO,2006-01-13 07:55,53.60
OZR,2006-01-13 07:55,59.00
MOB,2006-01-13 07:56,68.00
DHN,2006-01-13 07:59,57.20
MDQ,2006-01-13 07:59,50.00
3A1,2006-01-13 08:00,51.80
ALX,2006-01-13 08:00,53.60
OZR,2006-01-13 08:08,59.00
DHN,2006-01-13 08:12,57.20
AUO,2006-01-13 08:15,53.60
OZR,2006-01-13 08:17,59.00
